2026-02-05 04:59:54,846 INFO  [org.jboss.modules] (main) JBoss Modules version 1.6.1.Final
2026-02-05 04:59:55,113 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.7.SP1
2026-02-05 04:59:55,167 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) starting
2026-02-05 04:59:55,829 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=native-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2026-02-05 04:59:55,831 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/host=master/core-service=management/management-interface=http-interface' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2026-02-05 04:59:55,899 INFO  [org.wildfly.security] (Controller Boot Thread) ELY00001: WildFly Elytron version 1.1.6.Final
2026-02-05 04:59:55,934 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0003: Creating http management service using network interface (management) port (9990) securePort (-1)
2026-02-05 04:59:55,940 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.5.4.Final
2026-02-05 04:59:55,946 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.5.4.Final
2026-02-05 04:59:56,013 INFO  [org.jboss.as.patching] (MSC service thread 1-3) WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none
2026-02-05 04:59:56,033 WARN  [org.jboss.as.domain.management.security] (MSC service thread 1-7) WFLYDM0111: Keystore /opt/wildfly-11.0.0.Final/domain/configuration/application.keystore not found, it will be auto generated on first use with a self signed certificate for host localhost
2026-02-05 04:59:56,033 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 5.0.5.Final
2026-02-05 04:59:56,081 INFO  [org.jboss.as.remoting] (MSC service thread 1-3) WFLYRMT0001: Listening on 127.0.0.1:9999
2026-02-05 04:59:57,171 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=default/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2026-02-05 04:59:57,202 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2026-02-05 04:59:57,226 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2026-02-05 04:59:57,250 INFO  [org.jboss.as.controller.management-deprecated] (Controller Boot Thread) WFLYCTL0028: Attribute 'security-realm' in the resource at address '/profile=full-ha/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2026-02-05 04:59:57,468 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-one
2026-02-05 04:59:59,089 INFO  [org.jboss.as.host.controller] (management task-4) WFLYHC0021: Server [Server:server-one] connected using connection [Channel ID 1d3a9122 (inbound) of Remoting connection 06874064 to localhost/127.0.0.1:33357 of endpoint "master:MANAGEMENT" <3c012a58>]
2026-02-05 04:59:59,114 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server server-two
2026-02-05 04:59:59,126 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-one
2026-02-05 05:00:01,976 INFO  [org.jboss.as.host.controller] (management task-8) WFLYHC0021: Server [Server:server-two] connected using connection [Channel ID 2bc66623 (inbound) of Remoting connection 5d19ace0 to localhost/127.0.0.1:54457 of endpoint "master:MANAGEMENT" <3c012a58>]
2026-02-05 05:00:02,012 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0062: Http management interface listening on http://127.0.0.1:9990/management and https://127.0.0.1:-1/management
2026-02-05 05:00:02,013 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0053: Admin console listening on http://127.0.0.1:9990 and https://127.0.0.1:-1
2026-02-05 05:00:02,013 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) (Host Controller) started in 7526ms - Started 77 of 79 services (23 services are lazy, passive or on-demand)
2026-02-05 05:00:02,045 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server server-two
2026-02-05 05:08:41,415 INFO  [org.jboss.as.host.controller] (management-handler-thread - 3) WFLYHC0024: Stopping server server-one
2026-02-05 05:08:41,684 INFO  [org.jboss.as.host.controller] (management task-7) WFLYHC0027: Unregistering server server-one
2026-02-05 05:08:41,785 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-one
2026-02-05 05:19:38,072 INFO  [org.jboss.as.host.controller] (Thread-2) WFLYHC0181: Host Controller shutdown has been requested via an OS signal
2026-02-05 05:19:38,085 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 36) WFLYHC0024: Stopping server server-two
2026-02-05 05:19:38,592 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0027: Unregistering server server-two
2026-02-05 05:19:38,628 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server server-two
2026-02-05 05:19:38,682 INFO  [org.jboss.as] (MSC service thread 1-8) WFLYSRV0050: WildFly Full 11.0.0.Final (WildFly Core 3.0.8.Final) stopped in 604ms
